Transformation Number,Time Between Messages,Moving Average Time Between Messages,Translation_x,Filtered Translation_x,Translation_y,Filtered Translation_y,Translation_z,Filtered Translation_z,Rotation_x,Filtered Rotation_x,Rotation_y,Filtered Rotation_y,Rotation_z,Filtered Rotation_z,Rotation_w,Filtered Rotation_w
0,0.011314153671264648,0.011314153671264648,1.2429331140129734,1.2429331140129734,0.044879457684681046,0.044879457684681046,0.12600837814436883,0.12600837814436883,-0.007913415951082975,-0.007913415951082975,0.013115764025169277,0.013115764025169277,0.006260595106052193,0.006260595106052193,0.9998630703906106,0.9998630703906106
1,0.009413957595825195,0.010364055633544922,1.2435943564184657,1.2432637352157196,0.04371325809944185,0.04429635789206145,0.14241936304080594,0.13421387059258738,-0.00912086216166081,-0.008517139056371893,0.008696453088868867,0.010906108557019071,0.005187254702529475,0.005723924904290834,0.9999071326707056,0.9998851015306581
2,0.011166572570800781,0.010089137337424538,1.2454588920918965,1.2435943564184657,0.04295295647892183,0.04371325809944185,0.14920393136977483,0.14241936304080594,-0.01219839677941095,-0.00912086216166081,0.003951326563689832,0.008696453088868867,0.004580935023352678,0.005187254702529475,0.9999072962873663,0.9999071326707056
3,0.008852720260620117,0.009988536005434782,1.2428970790074612,1.2432637352157196,0.043735895278418896,0.04372457668893037,0.14277002884234835,0.14259469594157714,-0.012667029553310827,-0.01065962947053588,0.008270205340565774,0.008483329214717322,0.0057552965489971394,0.005471275625763307,0.9998690047338968,0.9998880687023013
4,0.008784294128417969,0.009992910756005181,1.2439747546624125,1.2437845555404392,0.04181342555864323,0.04333310728918184,0.13798255056045838,0.14259469594157714,-0.008155248063987368,-0.01065962947053588,0.006312980492234615,0.007291592916400195,0.004853298924681348,0.005020276813605411,0.9999350397380158,0.999907214479036
5,0.00997304916381836,0.00999356691653912,1.2422094393722625,1.2434359168349367,0.0446679977845405,0.043344425878670365,0.11681323908717767,0.14037628970140337,-0.0040719700001243244,-0.010176822421699159,0.014668892855360303,0.007291592916400195,0.0070434531846663515,0.005304297736839244,0.9998593063076182,0.9998881505106316
6,0.0110015869140625,0.010005734020606019,1.2426727776267246,1.2427849283170929,0.04555109895699988,0.0442019465314797,0.11469988644291562,0.12739789482381803,-0.008285469688388862,-0.008220358876188116,0.017478723514278524,0.01146954909796304,0.007449808572305782,0.0063993748668317455,0.9997851497039703,0.9998641555207575
7,0.00933384895324707,0.01000146976737089,1.2394161335221412,1.2424411084994935,0.03912254461284703,0.04324071167159187,0.1464373568444155,0.12739789482381803,-0.0030474931507609992,-0.006113609032055847,-0.006241467682012604,0.010490936673797458,0.00233905378821568,0.00594837605467385,0.9999731424863602,0.999897173022817
8,0.009308338165283203,0.009998673484438942,1.237798746174426,1.2408127864472018,0.031262475656420985,0.04189527119869377,0.15207167802403276,0.13162529796579658,-0.003457236098963283,-0.003764603049543804,-0.002328604256117197,0.006170144299621553,-0.00036386718587711977,0.004691253486441015,0.9999912463224093,0.9999162243969892
9,0.009301185607910156,0.0099995789840875,1.2348646368531906,1.2386074398482836,0.04262645396418639,0.04087449928851671,0.23688458301181048,0.14925451743422413,-0.06482582441343232,-0.005871352893676072,-0.00683688677171204,-0.004285035969064901,0.0040944572733352435,0.0032167555307754617,0.9978647728465148,0.9998791460951653
10,0.009391069412231445,0.010000852977528292,1.2299113981217318,1.2363316915138083,0.04015019406653707,0.03963636933969205,0.23925724008457006,0.19447813051792162,-0.054813576679647875,-0.02913540638930558,0.0039691172307583875,-0.004285035969064901,0.0023223945584129025,0.002330724173314291,0.9984860161281719,0.9992295793072661
11,0.009636878967285156,0.009999095976769507,1.28096189901299,1.2363316915138083,0.045216356912600175,0.04138832401536173,0.2480145108962688,0.23807091154819027,0.16857070545987926,-0.02913540638930558,-0.32302330838101956,-0.004582745513914618,0.038331249860532726,0.0032084259158740728,0.9304679332397591,0.9981753944873433
12,0.005867958068847656,0.010167918749303626,1.2667491777380744,1.2508069072956325,0.02114548313330039,0.04138832401536173,0.2704131497870177,0.24363587549041943,0.21735767554832405,0.056878564390115696,-0.3307882087432695,-0.1649300975763658,0.03197253477522076,0.018033496024278003,0.9177758761575159,0.9641663530431369
13,0.009495735168457031,0.010163584063130041,1.0397286666314203,1.2483302879299032,0.28519762115398395,0.04268327548956862,0.7750163468526996,0.25921383034164325,0.05402434492024141,0.11129752519006034,-0.4895540594599024,-0.32690575856214454,0.1945489187842161,0.03515189231787674,0.8482740778911977,0.9241219046986375
14,0.00957036018371582,0.010153913645552407,1.0439925587977892,1.1553708682679318,0.28984378067359073,0.16520698903329206,0.7663944657290283,0.518403807758023,0.05428490560707047,0.11142780553347487,-0.4774384100611832,-0.40411330940222634,0.1974591999655172,0.1164400843223744,0.8544680087460612,0.8861219424517885
15,0.011545658111572266,0.010151749902379973,1.0439313660381282,1.0439619624179586,0.2897892109824366,0.2874934160682103,0.7665120689827785,0.7664532673559034,0.05434460059491063,0.05431475310099055,-0.4774494195115311,-0.47744391478635717,0.19744979771873258,0.19599935825147435,0.8544602352216943,0.8544641219838778
16,0.010160446166992188,0.010145892166509862,1.245936825904917,1.0439619624179586,0.03503347879052468,0.2874934160682103,0.11593837378098337,0.7664532673559034,0.010558659897823772,0.05415462526365594,0.0014526704245878398,-0.47744391478635717,0.0016722776070320516,0.19599935825147435,0.9999418022752147,0.8544641219838778
17,0.00963282585144043,0.010142756410242535,1.2459316506217095,1.1449621047097494,0.03504289909408834,0.16241605503826245,0.11607029739847308,0.44123238156375066,0.010387814411534106,0.03242178275244712,0.001577897759331447,-0.23799286981829768,0.0016475012090730757,0.09956103766288232,0.9999434430457449,0.9272049055106379
18,0.010565519332885742,0.010131206777360704,1.2544825328950324,1.2459342382633132,0.03792158001048998,0.03648223955228916,0.1261035639720256,0.12108693068524934,0.0032650471549519034,0.01047323715467894,-0.0209862549319839,-0.00976679225369803,0.001895028948926555,0.0017836532779793033,0.999772636871148,0.9998572195731814
19,0.00968623161315918,0.010124849044170577,1.2544820223380275,1.2502094241214723,0.03792982730949865,0.03648223955228916,0.12614178543529198,0.12108693068524934,0.0032540372990618946,0.006826430783243005,-0.021006371515144187,-0.00976679225369803,0.0018974941759735081,0.0017836532779793033,0.9997722456204094,0.9998572195731814
20,0.008918285369873047,0.010121781020156139,1.2424939390780132,1.2502068364798684,0.037741335004586624,0.0378314575075383,0.11735525313876405,0.12172940855539482,-0.005234574316936623,0.003259542227006899,0.014163724172980601,-0.009704178586326226,0.0040285946986095104,0.0018962615624500316,0.9998778718293683,0.9998252543502582
21,0.009681463241577148,0.010120403257190672,1.2450647322532034,1.2497733772956154,0.03696052427225874,0.0378314575075383,0.12647262920829538,0.1261226747036588,-0.005292436674582464,-0.0009902685089373644,0.014990055996040684,-0.003411265379501649,0.004026412489950684,0.002961953332962096,0.9998655291276632,0.9998190829994056
22,0.008785247802734375,0.010116300455303893,1.2432716433023925,1.244168187777798,0.0430918456114634,0.037835581157042636,0.12395534947755471,0.12504856745642334,-0.00718107522975402,-0.005263505495759544,0.012443175671802437,0.01330344992239152,0.005568239029272087,0.004027503594280097,0.9998812900799066,0.9998717004785158
23,0.011605501174926758,0.010116142774719039,1.2429041597566433,1.2430879015295178,0.049662088755004524,0.04041659030802501,0.11813080014863919,0.12104307481309695,-0.011983203863951498,-0.006236755952168242,0.018544099647361343,0.014576890084510644,0.008198730770807487,0.004798416863940799,0.9997226115314045,0.9998717004785158
24,0.010282516479492188,0.010109506559147378,1.2448348743399538,1.244053258821173,0.047228010621170796,0.0451599281163171,0.13179154571655505,0.12521398934292505,-0.007890221651147269,-0.0075356484404506445,0.011767663940162508,0.013716615833921562,0.008002059603122207,0.006785149316197147,0.9998676080010769,0.9998665685643701
25,0.009735107421875,0.010108713376320015,1.2468170599958102,1.244053258821173,0.0453412115774304,0.0462846110993006,0.1221764165615391,0.1230658830195469,0.00952952531223603,-0.0075356484404506445,0.008865165695277852,0.012105419805982473,0.0068324403577660784,0.007417249980444143,0.9998919515344027,0.9998744490404917
26,0.00901651382446289,0.010105647709434486,1.241868815367075,1.2438695170482985,0.04950700850504222,0.04836750956310651,0.13246702960215928,0.12698398113904708,-0.02970571775768534,-0.009936712757549385,0.012220931824230672,0.011994297882196591,0.0070049571618463514,0.007503508382484279,0.9994594287578705,0.9997951097662408
27,0.008598804473876953,0.010101966592612761,1.2435974660951614,1.2442161702175576,0.046239783308007765,0.04673389696458928,0.10198392813446966,0.12698398113904708,-0.01132912660297609,-0.00960967412706168,0.022790535430478317,0.011994297882196591,0.008131228703632837,0.007503508382484279,0.9996429990276404,0.9997553035143587
28,0.010893106460571289,0.010076889924307773,1.2434986151314393,1.2435480406133004,0.046250439249637926,0.046245111278822845,0.10198207903310208,0.11208017234800438,-0.011318387779291263,-0.011323757191133675,0.02279638403129529,0.017505733627354494,0.008135590110621583,0.007568092932739594,0.9996429518316664,0.9996429754296534
29,0.008933782577514648,0.010041848541452335,1.2507090871532238,1.2435480406133004,0.02693866579861115,0.046245111278822845,0.19648533340594287,0.11722547886831447,0.006381313294215307,-0.011323757191133675,-0.0029767977670211005,0.017505733627354494,0.0024092285175397955,0.007568092932739594,0.9999723061833491,0.9996429754296534
30,0.009578227996826172,0.010041771938031583,1.2635589557576874,1.2471532766241926,0.03330287497817541,0.03977132914309159,0.15263462303424413,0.1273092755843569,-0.015662764072458604,-0.011323757191133675,0.029453229154183677,0.022793459730886804,0.0016595099383149062,0.005270228610586316,0.9994420599218178,0.9996429754296534
31,0.00968313217163086,0.010040227281147064,1.2635007403377716,1.2571049137454977,0.03331441686508896,0.033308645921632185,0.15250362065311918,0.15256912184368165,-0.01566870043378376,-0.013490575925874933,0.029520838814032023,0.026124806592739483,0.0016639541117777236,0.0020365913146587595,0.999439964759838,0.9995425058767421
32,0.009491682052612305,0.010034447446304636,1.0426395598326703,1.2571049137454977,-0.002805737882192405,0.03012077038839328,0.13215440325458072,0.15256912184368165,0.012027487175991211,-0.004640725389121648,0.027701579419365553,0.028577404286774615,-0.005531327381803993,0.0016617320250463148,0.9995285721115226,0.9994853160166701
33,0.009485244750976562,0.010034129269732446,1.2371773692394001,1.250339054788586,0.04824602680643917,0.033308645921632185,0.11645839539976621,0.14232901195384995,-0.02889175300984593,-0.015665732253121182,-0.05350149213892972,0.028577404286774615,0.010547851577903361,0.0016617320250463148,0.9980939834374399,0.9994410123408279
