Transformation Number,Time Between Messages,Moving Average Time Between Messages,Translation_x,Filtered Translation_x,Translation_y,Filtered Translation_y,Translation_z,Filtered Translation_z,Rotation_x,Filtered Rotation_x,Rotation_y,Filtered Rotation_y,Rotation_z,Filtered Rotation_z,Rotation_w,Filtered Rotation_w
0,0.008061885833740234,0.008061885833740234,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.845223508351025e-08,-1.845223508351025e-08,0.9999999999999998,0.9999999999999998
1,0.010849952697753906,0.009925484657287598,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.783213834486778e-07,2.799345741825838e-07,0.9999999999998328,0.9999999999999163
2,0.010136127471923828,0.009873151779174805,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.791050429489927e-07,5.783213834486778e-07,0.9999999999998324,0.9999999999998328
3,0.010781526565551758,0.009995341300964355,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1041041583224032e-06,5.787132131988353e-07,0.9999999999993905,0.9999999999998326
4,0.009316205978393555,0.009982993386008523,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0371893305774044e-06,8.081471867631985e-07,0.9999999999994621,0.9999999999996472
5,0.010805130004882812,0.00999767439705985,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2064987994937487e-07,8.081471867631985e-07,0.9999999999999757,0.9999999999996472
6,0.009709835052490234,0.009982368350028992,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.492164666444978e-10,6.289196052633897e-07,1.0,0.9999999999997189
7,0.008630990982055664,0.009985545102287741,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2605225803981232e-08,1.0995033174136519e-07,0.9999999999999999,0.9999999999999878
8,0.011121749877929688,0.009997615814208985,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09803276271392e-06,1.0995033174136519e-07,0.9999999999993971,0.9999999999999878
9,0.011060714721679688,0.009997842358607872,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.171979461928622e-07,2.0822436486310886e-07,0.999999999999913,0.9999999999999565
10,0.00892949104309082,0.009992647171020507,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.1314413409422e-09,2.0453325242596001e-07,1.0,0.9999999999999565
11,0.009107351303100586,0.009995213150978089,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4291418715589062e-08,2.0453325242596001e-07,0.9999999999999999,0.9999999999999565
12,0.009916067123413086,0.010000154551337747,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0443749576261025e-07,4.8153027210834024e-08,0.9999999999999946,0.9999999999999972
13,0.010109186172485352,0.009993231573770212,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6221935525435496e-07,4.8153027210834024e-08,0.9999999999999656,0.9999999999999972
14,0.009988784790039062,0.009999395671643709,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5441200540422473e-07,1.2942475058341748e-07,0.999999999999988,0.9999999999999913
15,0.00864410400390625,0.009994082223801385,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3146380342709396e-11,1.2942475058341748e-07,1.0,0.9999999999999913
16,0.009888887405395508,0.009994180635972457,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0416386464484601e-07,1.2928793502453536e-07,0.9999999999999946,0.9999999999999913
17,0.008615493774414062,0.009993814892239042,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4903726295232903e-07,1.2660056379858752e-07,0.9999999999999889,0.9999999999999918
18,0.00992584228515625,0.009997397920359736,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5362662431073143e-07,1.2660056379858752e-07,0.9999999999999882,0.9999999999999918
19,0.009806394577026367,0.00999902578500601,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.151974650871807e-10,1.2660056379858752e-07,1.0,0.9999999999999918
20,0.010080575942993164,0.009995475070167134,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.384872870910359e-07,1.5133194363153022e-07,0.9999999999996485,0.9999999999999886
21,0.009682893753051758,0.009998102845816776,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5323321567173254e-07,1.5342991999123198e-07,0.9999999999999882,0.9999999999999882
22,0.009500741958618164,0.009998968769522274,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.093664324011633e-09,7.866343999787208e-08,1.0,0.9999999999999941
