Transformation Number,Time Between Messages,Moving Average Time Between Messages,Std Time Between Messages,Z Score Time Between Messages,Translation_x,Moving Average Translation_x,Std Translation_x,Z Score Translation_x,Translation_y,Moving Average Translation_y,Std Translation_y,Z Score Translation_y,Translation_z,Moving Average Translation_z,Std Translation_z,Z Score Translation_z,Rotation_x,Moving Average Rotation_x,Std Rotation_x,Z Score Rotation_x,Rotation_y,Moving Average Rotation_y,Std Rotation_y,Z Score Rotation_y,Rotation_z,Moving Average Rotation_z,Std Rotation_z,Z Score Rotation_z,Rotation_w,Moving Average Rotation_w,Std Rotation_w,Z Score Rotation_w
1,0.03327200000001085,0.03327200000001085,0,0,0.1597130000591278,0.1597130000591278,0,0,0.022820154204964638,0.022820154204964638,0,0,1.3064392805099487,1.3064392805099487,0,0,0.05010345492667444,0.05010345492667444,0,0,0.9952043869616213,0.9952043869616213,0,0,-0.02325401905884316,-0.02325401905884316,0,0,0.08072869734094129,0.08072869734094129,0,0
2,0.03335500000002867,0.03331350000001976,5.8689862851083253e-05,0.7071067811865476,0.15971356630325317,0.1597132831811905,4.003950608534933e-07,0.7071067811865475,0.02282038703560829,0.022820270620286465,1.6463612699567982e-07,0.7071067811865475,1.3064435720443726,1.3064414262771606,3.0345730927843702e-06,0.7071067811865476,0.050104358853743765,0.050103906890209104,6.391729604196074e-07,0.7071067811811195,0.9952048185903803,0.9952046027760009,3.052076224919549e-07,0.7071067810046676,-0.02324796865374273,-0.023250993856292944,4.2782824754392995e-06,0.7071067811861421,0.08072455779883919,0.08072662756989024,2.9270982914018055e-06,-0.7071067811865475
3,0.0333419999999478,0.03332299999999577,4.46430285640695e-05,0.42559836469789986,0.15971331298351288,0.15971329311529794,2.8364442855654627e-07,0.07004620198426079,0.022820105776190758,0.022820215672254562,1.5036750242616155e-07,-0.7308498314560441,1.306440830230713,1.3064412275950115,2.1731867653330673e-06,-0.18284866488026771,0.05010435022939742,0.05010405466993854,5.194108027029866e-07,0.5690283246734642,0.9952047957434539,0.9952046670984852,2.4287443750897866e-07,0.5296768568859739,-0.023257556427132307,-0.023253181379906063,4.848466679653066e-06,-0.9023568718343163,0.08072208301548428,0.08072511271842159,3.3418972336099126e-06,-0.9065817185630566
4,0.03333400000008169,0.03332575000001725,3.686348690399141e-05,0.2237986896335248,0.15971331298351288,0.15971329808235168,2.3180766680991717e-07,0.0642824346533225,0.022820105776190758,0.02282018819823861,1.3450976445544305e-07,-0.6127588445876174,1.306440830230713,1.3064411282539368,1.7854882827330407e-06,-0.16691413030208746,0.05010435022939742,0.05010412855980326,4.491071547073149e-07,0.49357840737139413,0.9952047957434539,0.9952046992597274,2.0847712166431477e-07,0.46280246811985115,-0.023257556427132307,-0.023254275141712626,4.522942882729215e-06,-0.7254757587612465,0.08072208301548428,0.08072435529268726,3.1209442564852644e-06,-0.7280736265182083
5,0.03334699999993518,0.03333000000000084,3.33091578900299e-05,0.510370150769522,0.15973268449306488,0.1597171753644943,8.672190332547855e-06,1.7883750212861418,0.022845152765512466,0.022825181111693384,1.1165101588956498e-05,1.7887570175659595,1.3066775798797607,1.3064884185791015,0.0001057556865954073,1.7886631608090122,0.05018130824484805,0.05011956449681222,3.4517995736282465e-05,1.7887408210938154,0.9952500046264595,0.9952137603330738,2.026198035681454e-05,1.7887833640840527,-0.023121678296448272,-0.023227755772659755,5.942833864455714e-05,1.7849645241798848,0.08015393057501037,0.08061027034915189,0.00025511600680306403,-1.788753986314096
6,0.033341000000064014,0.0333318333333447,3.012916637367634e-05,0.30424561388878835,0.15959900617599487,0.15969748049974442,4.8861965711934545e-05,-2.015357391270279,0.022837985306978226,0.022827315144240856,1.1271741847445006e-05,0.9466294457221064,1.305482268333435,1.3063207268714905,0.0004215097448540668,-1.9891794870500734,0.05017924863232465,0.05012951185273096,3.933056015828336e-05,1.264583555218316,0.9951122336479132,0.9951968392188805,4.523696399699492e-05,-1.870275179670626,-0.02237765729118965,-0.02308607269241474,0.00035109821035365305,2.017712937105313,0.08205440820037938,0.08085095999102314,0.0006321838053654748,1.9036365676284692
7,0.12758499999995365,0.04679657142857455,0.0356243590859423,2.2677861621729205,0.1596197783946991,0.15968638019902365,5.3404991748596494e-05,-1.2471082223564092,0.022859422490000725,0.022831901907920837,1.5910550303331243e-05,1.7297064875326982,1.3057115077972412,1.3062336955751692,0.00044841927547185987,-1.1645078757565062,0.050251828840534946,0.050146985708131524,5.853568848623168e-05,1.791097621207313,0.9951531665378115,0.995190600264442,4.447236175925796e-05,-0.8417301251751247,-0.022220556697601822,-0.02296242755029861,0.00045797577367917867,1.6198910408227891,0.08155474043853571,0.08095150005495351,0.0006354566082677621,0.9493022430384602
8,0.13945400000000063,0.05837875000000281,0.046486240587158494,1.744069836062293,0.15969830751419067,0.15968787111341953,4.962291680148925e-05,0.21031413394925308,0.02287903241813183,0.02283779322169721,2.2240561511358932e-05,1.8542335998825807,1.3062855005264282,1.3062401711940765,0.000415559410148594,0.10908026925795254,0.04997086510693705,0.05012497063298221,8.254844365912636e-05,-1.8668495638939024,0.9952500282079748,0.9951980287573836,4.6224554662391513e-05,1.124931348089487,-0.022702879502415087,-0.022929984044313168,0.00043381948124888823,0.5235001001898016,0.08040443554175464,0.08088311699080364,0.0006192968639454088,-0.7729434410492945
9,0.03336300000000847,0.05559922222222566,0.04427619242260107,-0.5022162251437539,0.15972398221492767,0.15969188345803154,4.7953308764586e-05,0.6693752260916463,0.02286984771490097,0.022841354832053185,2.3387558000953317e-05,1.2182923435881818,1.3065816164016724,1.306278109550476,0.0004050398627534708,0.7493258790209983,0.05001178188167386,0.05011239410505906,8.594176137444558e-05,-1.1707023660690612,0.9952658179484681,0.9952055608897263,4.878747719113044e-05,1.2350927371327973,-0.021738598230068934,-0.022797607842730477,0.0005677900608775463,1.8651429210028676,0.08045002575125769,0.0808349957419652,0.0005970162655145836,-0.6448232869764434
10,0.033366000000000895,0.05337590000000318,0.042331934723471305,-0.4726904199091006,0.15973931550979614,0.159696626663208,4.763399597499551e-05,0.8961844521831531,0.0228761937469244,0.022844838723540307,2.4649088205915635e-05,1.2720561151048388,1.3067554235458374,1.3063258409500123,0.00041062338902181106,1.0461717654430367,0.050089569725343515,0.05011011166708751,8.134750413681135e-05,-0.25252086049802447,0.9953008268624643,0.9952150874870002,5.498463265207913e-05,1.559333423335089,-0.02169742643909036,-0.022687589702366465,0.0006384393849827702,1.5509119370867548,0.07997825165346581,0.08074932133311527,0.0006246809639214626,-1.2343415666279258
11,0.06673100000000431,0.05672180000000253,0.041886321964721106,0.23896106247839255,0.15940548479557037,0.15966587513685226,0.00010298862581125507,-2.528340768029106,0.02271704003214836,0.02283452730625868,4.7291207480965614e-05,-2.484336526141885,1.3042618036270142,1.3061080932617188,0.0007667206566427875,-2.4080342934660997,0.05035933444777778,0.05013569961919784,0.00011307666875652302,1.977727421927084,0.9948491410586232,0.9951795628967004,0.00012840565515829592,-2.5732654661498433,-0.023157252020221446,-0.022677912998504295,0.000629571964435851,-0.7613728831566997,0.08486969805394846,0.08116342140441599,0.0014443117177469769,2.566119629157343
12,0.03336699999999837,0.0567229999999995,0.04188557831361253,-0.5576143613232765,0.15940548479557037,0.15963506698608398,0.00012974212644105746,-1.7695269594483736,0.02271704003214836,0.022824192605912685,6.024337377713243e-05,-1.7786615696645656,1.3042618036270142,1.3058899164199829,0.000949325675695543,-1.715020287190521,0.05035933444777778,0.05016119717860125,0.0001323320884799051,1.4972730458086652,0.9948491410586232,0.9951439951435246,0.00016474970943996273,-1.7897092863087811,-0.023157252020221446,-0.022668841335152165,0.0006210409918966914,-0.7864387237590375,0.08486969805394846,0.08157793542992692,0.0018439086988516825,1.7852091191237036
13,0.03336699999999837,0.05672550000000456,0.041884028444277674,-0.5576946838120462,0.1594628244638443,0.15961001813411713,0.000136937850812491,-1.0748939712394014,0.02273411862552166,0.022815593890845774,6.668384571555992e-05,-1.2218141357900574,1.3046212196350098,1.3057079553604125,0.0010047642277426663,-1.0815828185326986,0.05026028927218814,0.050176791082880326,0.00013406549131097714,0.6228164197312499,0.9949353180363765,0.9951170473728167,0.00017539472926317935,-1.0361162915422844,-0.022943714550829865,-0.02263745714752192,0.0005953847845799615,-0.5143856733322555,0.08397143686242646,0.08190287081462114,0.0019590397113868055,1.0559081757158377
14,0.03336500000000342,0.05672859999999673,0.04188210588517516,-0.5578420546485278,0.15933233499526978,0.15957192033529283,0.000156592695942246,-1.5299905182768867,0.022662047296762466,0.022799788042902946,8.238026237991266e-05,-1.6720115008284595,1.303477168083191,1.3054115891456604,0.001185417757979244,-1.6318475486372024,0.050599865269707604,0.05022634258691133,0.000185877073606594,2.0095145439336273,0.9948290990317311,0.9950794777016444,0.00019378380512094338,-1.2920515713736862,-0.021360327845646142,-0.022447734289373307,0.0006730474544504051,1.6156460239718402,0.08543098822282227,0.08237376133535493,0.0021953613499428627,1.3925848186891485
15,0.03336699999999837,0.05673060000000305,0.041880865740269425,-0.5578585730509396,0.159335657954216,0.15953221768140793,0.00016155605935712925,-1.2166657689850164,0.022664092481136322,0.022781682014465333,9.077176104930759e-05,-1.2954417978641573,1.3035130500793457,1.305095136165619,0.0012314052726736643,-1.2847809907765948,0.05061324312057097,0.05026953607448363,0.0002210982023464336,1.5545447336961808,0.9948356769896435,0.9950380449379628,0.0001975297682676357,-1.0244934224045767,-0.02133980102660268,-0.022269546562388744,0.0007096746369586545,1.310101118690861,0.08535155711245512,0.0828935239890994,0.0022264717987253943,1.1040037088109071
16,0.03336699999999837,0.056733199999996486,0.04187925313139793,-0.5579421372841983,0.1593322902917862,0.15950554609298706,0.00017104247836847989,-1.0129401938834084,0.022662030532956123,0.022764086537063122,9.55719748934874e-05,-1.0678444619433471,1.3034769296646118,1.3048946022987367,0.0013213550770575667,-1.072893016222226,0.05059977938751608,0.050311589150002764,0.0002411048521822151,1.1952900777605062,0.9948290559414201,0.9950097271673135,0.0002058358458181914,-0.8777442295107439,-0.021360651161923472,-0.02216784594946213,0.0007633053550687844,1.0574991806076313,0.08543146002835245,0.08323122917189671,0.002338355218767956,0.9409309752412235
17,0.06673200000000179,0.0506479000000013,0.03414761462776978,0.4710167950331868,0.15942803025245667,0.1594863712787628,0.00016752536008061216,-0.34825190811748086,0.02267318405210972,0.022745462693274023,9.304232235251699e-05,-0.7768361680661438,1.3044484853744507,1.3047683000564576,0.00129468899352497,-0.24702046870436817,0.0506403581173695,0.05035044207768623,0.00026089720988504387,1.1112270606918875,0.9948760601576897,0.9949820165293015,0.00020301307584482146,-0.5219189511359635,-0.019903237281816418,-0.02193611400788359,0.0010452215423227091,1.9449242517042633,0.08521173745770694,0.08359692887381384,0.002332990023303617,0.6921626615472858
18,0.03336699999999837,0.04003920000000107,0.014068077392136441,-0.4742794494244271,0.1593717634677887,0.15945371687412263,0.00015280255868136184,-0.5363353011963061,0.02268061228096485,0.022725620679557322,8.188034171445954e-05,-0.549685036115604,1.3037861585617065,1.3045183658599853,0.001207569180606817,-0.6063481165615517,0.05049002202700047,0.05040235776969256,0.00022633742801761908,0.3873166628944868,0.9948577084614345,0.9949427845546476,0.00018231826206899807,-0.4666350602929109,-0.02178732270129192,-0.02184455832777127,0.0010101032816567704,0.05666314278819981,0.08505416015743233,0.0840619013353816,0.0020751197416068417,0.47816942904816967
19,0.033366000000000895,0.04003950000000032,0.014067919235308101,-0.47437719028483366,0.15953949093818665,0.1594352677464485,0.00012518773899954935,0.8325351393918453,0.022663557901978493,0.022704991698265075,6.5941316654122e-05,-0.6283434785494569,1.3051868677139282,1.3043788909912108,0.0010066097927818947,0.8026712322005403,0.050828218133245874,0.05048400139484978,0.00021684822945264664,1.5873624574429028,0.9950149288528821,0.9949176956450889,0.00014671182281026504,0.6627496402859653,-0.020459626888489256,-0.0217166611936133,0.0011018171120911753,1.1408738268171181,0.08332578993851114,0.08434947775410695,0.0016807508330571653,-0.6090657790921892
20,0.10103400000002694,0.04680630000000292,0.02356799800601388,2.300903962491284,0.15953949093818665,0.15941528528928756,7.85084392631848e-05,1.5820674829964885,0.022667646408081055,0.022684136964380743,2.762777418675219e-05,-0.5968832736295933,1.3052641153335571,1.3042297601699828,0.00066938484272262,1.5452324246949287,0.0509031310064739,0.05056535752296282,0.00020469855483558154,1.6501019451866288,0.9950195398099347,0.9948895669398359,7.407930747533585e-05,1.7545097886091003,-0.02055606994557942,-0.02160252554426221,0.0011615287407921492,0.9009295783495795,0.08320116969463907,0.08467176955822427,0.0008561271953721302,-1.7177352518815516
21,0.03404899999998179,0.04353810000000067,0.0227498436890933,-0.4171061625609381,0.15953949093818665,0.1594286859035492,8.756420135809033e-05,1.2654147804571227,0.022667646408081055,0.02267919760197401,2.5418712982826526e-05,-0.4544366152904766,1.3052641153335571,1.3043299913406372,0.0007454369005688997,1.2531228226118412,0.0509031310064739,0.050619737178832426,0.0002158156193748953,1.3131293669212607,0.9950195398099347,0.9949066068149671,8.282834713986204e-05,1.3634582708371843,-0.02055606994557942,-0.021342407336798007,0.0010616350716176638,0.7406852055296244,0.08320116969463907,0.08450491672229335,0.0009684852750946787,-1.3461712440871358
