Transformation Number,Time Between Messages,Moving Average Time Between Messages,Translation_x,Filtered Translation_x,Translation_y,Filtered Translation_y,Translation_z,Filtered Translation_z,Rotation_x,Filtered Rotation_x,Rotation_y,Filtered Rotation_y,Rotation_z,Filtered Rotation_z,Rotation_w,Filtered Rotation_w
1,0.033366000000000895,0.033366000000000895,0.14474369585514069,0.14474369585514069,-0.12396927177906036,-0.12396927177906036,1.3177098035812378,1.3177098035812378,0.08254689910911797,0.08254689910911797,0.9924088890687812,0.9924088890687812,-0.024593034637991833,-0.024593034637991833,0.08778262351986868,0.08778262351986868
2,0.06673200000000179,0.05004900000000134,0.14459756016731262,0.14467062801122665,-0.12387080490589142,-0.12392003834247589,1.3162766695022583,1.316993236541748,0.08243082924721332,0.08248886417816564,0.9922151620502313,0.9923120255595063,-0.025095317042234496,-0.024844175840113163,0.08991360102787473,0.08884811227387171
3,0.03336699999999837,0.044488333333333685,0.14474369585514069,0.14474369585514069,-0.12396927177906036,-0.12396927177906036,1.3177098035812378,1.3177098035812378,0.08254689910911797,0.08254689910911797,0.9924088890687812,0.9924088890687812,-0.024593034637991833,-0.024593034637991833,0.08778262351986868,0.08778262351986868
4,0.03336500000000342,0.04170750000000112,0.1447417140007019,0.1447427049279213,-0.1239684447646141,-0.12396885827183723,1.317710041999817,1.3177098035812378,0.08253957463746811,0.08254323687329304,0.9924158600841496,0.9924088890687812,-0.024551510491259913,-0.024593034637991833,0.0877223039181076,0.08778262351986868
5,0.03336699999999837,0.04003940000000057,0.1447417140007019,0.1447417140007019,-0.1239684447646141,-0.1239684447646141,1.317710041999817,1.3177099227905273,0.08253957463746811,0.08253957463746811,0.9924158600841496,0.9924123745764655,-0.024551510491259913,-0.024572272564625873,0.0877223039181076,0.08775246371898815
6,0.20031300000005103,0.06675166666667565,0.1444532722234726,0.1447417140007019,-0.12379830330610275,-0.1239684447646141,1.314287781715393,1.3177099227905273,0.08249111125295465,0.08253957463746811,0.9918811889301196,0.9924123745764655,-0.025692928236567155,-0.024572272564625873,0.09331021942668298,0.08775246371898815
7,0.06755299999997533,0.06686614285714702,0.14458435773849487,0.1446630358695984,-0.12389682978391647,-0.12393263727426529,1.315610647201538,1.3166603446006775,0.08311417144952161,0.08253957463746811,0.991918290268753,0.9921670751764513,-0.024563966343584244,-0.02455773841742208,0.09266472625570472,0.09019351508690616
8,0.03404899999998179,0.06276400000000137,0.14458411931991577,0.14458423852920532,-0.12389656156301498,-0.12389669567346573,1.3156083822250366,1.3156095147132874,0.08311452834089297,0.08282687304349487,0.9919180463313207,0.9919181683000369,-0.024561684091768992,-0.024562825217676616,0.09266762226097486,0.09266617425833978
9,0.03360899999995581,0.05952455555555187,0.14458411931991577,0.14458411931991577,-0.12389656156301498,-0.12389656156301498,1.3156083822250366,1.3156083822250366,0.08311452834089297,0.0831143498952073,0.9919180463313207,0.9919180463313207,-0.024561684091768992,-0.024562825217676616,0.09266762226097486,0.09266762226097486
10,0.03300799999999526,0.05687289999999621,0.14460104703903198,0.14458423852920532,-0.12392482161521912,-0.12389669567346573,1.3157801628112793,1.3156095147132874,0.08305133466773941,0.0831143498952073,0.9919608341850865,0.9919181683000369,-0.024967141536142535,-0.024562825217676616,0.09215650327702765,0.09266617425833978
11,0.032616000000075474,0.05679790000000366,0.14459174871444702,0.1445879340171814,-0.1239142045378685,-0.12390538305044174,1.3157179355621338,1.3156631588935852,0.08302513815550965,0.0830829315043162,0.9919467130054808,0.9919323796684008,-0.02487635963676721,-0.024719021864268102,0.0923564384496449,0.09251203035530989
12,0.03323699999998553,0.05344840000000204,0.1445920318365097,0.14459189027547836,-0.12391802668571472,-0.12391611561179161,1.3157505989074707,1.3157342672348022,0.08300050925726213,0.08303823641162453,0.9919608717273982,0.9919537735952837,-0.024880931286517527,-0.024878645461642368,0.09222517922547475,0.09229080883755983
13,0.033187999999995554,0.053430500000001754,0.14461135864257812,0.14459653943777084,-0.12394185364246368,-0.12392142415046692,1.3158788681030273,1.315765380859375,0.08307287565721871,0.08303823641162453,0.9920085018347411,0.9919608529562424,-0.02528125644401199,-0.02492403641133003,0.09153626434503966,0.09219084125125121
14,0.16617199999996046,0.06671119999999746,0.14474676549434662,0.14460169523954391,-0.12395936250686646,-0.1239299401640892,1.3162719011306763,1.315814733505249,0.08269241759386438,0.08301282370638588,0.9922271456225312,0.9919846867810697,-0.02353308499606464,-0.024878645461642368,0.08996360082174475,0.0918807217852572
15,0.06661700000006476,0.0700362000000041,0.14461468160152435,0.14461302012205124,-0.12390033900737762,-0.1239299401640892,1.315685510635376,1.315814733505249,0.08302289725602649,0.08301170325664431,0.9918900279488164,0.9919846867810697,-0.0256143373102001,-0.025081093865264758,0.09276463071166059,0.0918807217852572
16,0.033349999999927604,0.05333989999999176,0.1446029394865036,0.14461302012205124,-0.12388916313648224,-0.12392109632492065,1.3156658411026,1.3157821893692017,0.08297118037190843,0.08299703881396746,0.9918624000923159,0.9919492648917787,-0.025207100165832375,-0.025244178304922184,0.09321676143287098,0.09215044752835012
17,0.03334200000006149,0.049918800000000374,0.14457066357135773,0.14460881054401398,-0.12384464591741562,-0.12389475107192993,1.3152384757995605,1.315675675868988,0.08294320700150752,0.08295719368670798,0.9918499515228948,0.9918762140205661,-0.02596864355884402,-0.025410718738016237,0.09316505583130373,0.09296484327148216
18,0.2000150000000076,0.06651540000000296,0.14460885524749756,0.14460589736700058,-0.12388812750577927,-0.12388864532113075,1.3155497312545776,1.3156077861785889,0.08256548977387933,0.08295719368670798,0.9919830403654784,0.9918762140205661,-0.027205471271986057,-0.025791490434522057,0.09171940829797376,0.09296484327148216
19,0.033241999999972904,0.06647870000000466,0.1431242823600769,0.14458680152893066,-0.12369796633720398,-0.12386638671159744,1.3131262063980103,1.315394103527069,0.08333883557083535,0.08295719368670798,0.9915947358628999,0.9918561758076053,-0.03172809556842666,-0.02658705741541504,0.09374351308908686,0.09319090863208736
20,0.06664200000000164,0.0698421000000053,0.14242470264434814,0.14384747296571732,-0.12360209226608276,-0.1237713061273098,1.3134660720825195,1.31435227394104,0.08347603225141213,0.08314102128617143,0.9918771997818099,0.9918635756523524,-0.027629026086627543,-0.0274172486793068,0.09191305407863079,0.09253905495496725
21,0.03330700000003617,0.06991120000000137,0.14161038398742676,0.14277449250221252,-0.12364669144153595,-0.12367232888936996,1.3160229921340942,1.3145079016685486,0.08333078896271755,0.08333481226677644,0.9916238271261595,0.9917505134539847,-0.027366528540459536,-0.02749777731354354,0.09481159318439808,0.09282828358385883
